price	invoice	biprice	hp	es	mpg	age	region	drtype
39.2 	36.1 	0 	270	4.0	18	8.6	AREA1	RWD
65.0 	59.9 	0 	335	4.2	16	8.5	AREA1	RWD
75.0 	69.1 	0 	420	6.0	12	12.1	AREA1	RWD
19.0 	17.4 	1 	115	2.0	24	4.3	AREA1	RWD
25.0 	22.8 	1 	170	1.8	22	4.6	AREA1	RWD
40.2 	37.0 	0 	270	4.0	18	8.2	AREA1	RWD
41.3 	38.9 	0 	268	2.9	15	6.6	AREA1	FWD
25.1 	23.7 	0 	170	1.9	22	4.2	AREA1	RWD
31.7 	29.9 	0 	208	2.5	20	5.4	AREA1	FWD
34.8 	32.9 	0 	247	2.3	20	5.2	AREA1	RWD
37.6 	35.4 	0 	300	2.5	18	5.1	AREA1	FWD
37.7 	35.5 	0 	208	2.9	20	6.9	AREA1	RWD
37.9 	35.7 	0 	194	2.5	20	5.2	AREA1	FWD
40.6 	38.2 	0 	197	2.4	21	5.5	AREA1	RWD
42.6 	40.1 	0 	242	2.3	20	5.0	AREA1	RWD
45.2 	42.6 	0 	268	2.9	19	6.0	AREA1	RWD
26.1 	24.6 	0 	170	1.9	22	4.1	AREA1	RWD
35.1 	33.1 	0 	208	2.5	20	5.6	AREA1	FWD
